id,name,description,birth_year,death_year,image_path
1,Akbar,"Mughal emperor known for his military, administrative, and cultural innovations in India.",1542-10-15,1605-10-27,/pictures/Akbar.jpeg
2,Jahangir,"Mughal emperor noted for his patronage of the arts and maintaining control over the empire.",1569-08-31,1627-10-28,/pictures/Jahangir.jpeg
3,"Shah Jahan","Mughal emperor famous for building the Taj Mahal as a monument to his wife.",1592-01-05,1666-01-22,/pictures/Shah%20Jahan.jpeg
4,Aurangzeb,"Mughal emperor whose reign marked the expansion of the empire to its greatest extent.",1618-11-03,1707-03-03,/pictures/Aurangzeb.jpeg
5,Shivaji,"Founder of the Maratha Empire, known for his guerrilla warfare tactics.",1630-02-19,1680-04-03,/pictures/Shivaji.jpeg
6,Sambhaji,"Maratha king and son of Shivaji, known for defending the Maratha Empire against the Mughals.",1657-05-14,1689-03-11,/pictures/Sambhaji.jpeg
7,"Balaji Vishwanath","First Peshwa of the Maratha Empire, key in consolidating Maratha power.",1662-01-01,1720-04-12,/pictures/Balaji%20Vishwanath.jpeg
8,"Shahu I","Maratha ruler whose reign saw the expansion of Maratha influence across India.",1682-01-01,1749-12-15,/pictures/Shahu%20I.jpeg
9,"Baji Rao I","Maratha general known for expanding the Maratha Empire in northern India.",1700-08-18,1740-04-28,/pictures/Baji%20Rao%20I.jpeg
10,"Robert Clive","British officer and colonial administrator who played a major role in establishing British rule in India.",1725-09-29,1774-11-22,/pictures/Robert%20Clive.jpeg
11,"Warren Hastings","First Governor-General of India, known for his administrative reforms.",1732-12-06,1818-08-22,/pictures/Warren%20Hastings.jpeg
12,"Tipu Sultan","Sultan of Mysore known for his resistance against British colonization.",1751-11-20,1799-05-04,/pictures/Tipu%20Sultan.jpeg
13,"Lord Dalhousie","British Governor-General of India, known for his expansionist policies and infrastructure development.",1812-04-22,1860-12-19,/pictures/Lord%20Dalhousie.jpeg
14,"Raja Ram Mohan Roy","Indian reformer and founder of the Brahmo Samaj, who promoted social and educational reforms.",1772-05-22,1833-09-27,/pictures/Raja%20Ram%20Mohan%20Roy.jpeg
15,"Mangal Pandey","Indian soldier who played a key role in the events that led to the 1857 uprising.",1827-07-19,1857-04-08,/pictures/Mangal%20Pandey.jpeg
